model,context,layer,target_id,target_text,rank_target_tangent,rank_wrong_tangent,rank_random_tangent,rank_offarc_random,rank_offarc_toward,rank_offarc_away,first_rank1_angle
EleutherAI/pythia-160m,The capital of France is,11,1779,Ch,1,7172,31903,1,2,1,6.747079372406006
EleutherAI/pythia-160m,The capital of France is,11,1788,lection,1,30425,46125,1,2,1,4.99587345123291
EleutherAI/pythia-160m,The capital of France is,11,1813,icro,1,34094,44401,1,1,1,5.15938138961792
EleutherAI/pythia-160m,The quick brown fox,0,60,[,43,19374,19619,27,12694,1,
EleutherAI/pythia-160m,The quick brown fox,0,75,j,115,12127,20828,146,12161,1,
EleutherAI/pythia-160m,The quick brown fox,0,80,o,138,27084,36613,92,18778,1,
EleutherAI/pythia-160m,The quick brown fox,0,81,p,8,6441,8793,6,1395,1,
EleutherAI/pythia-160m,The quick brown fox,0,264,ed,1,9289,14350,1,96,1,14.675474166870117
EleutherAI/pythia-160m,The quick brown fox,0,268, p,19,4222,12420,26,2408,1,
EleutherAI/pythia-160m,The quick brown fox,0,270, b,305,12996,17706,390,8160,5,
EleutherAI/pythia-160m,The quick brown fox,0,324,ad,18980,47535,49400,16744,45485,378,
EleutherAI/pythia-160m,The quick brown fox,0,351,od,65,18792,20664,27,13936,1,
EleutherAI/pythia-160m,The quick brown fox,0,359, we,4,2639,5317,3,78,1,
EleutherAI/pythia-160m,The quick brown fox,0,369, was,16,2401,1766,28,1948,1,
EleutherAI/pythia-160m,The quick brown fox,0,389, com,2,1438,2930,2,402,1,
EleutherAI/pythia-160m,The quick brown fox,0,398,ers,17,20243,38129,9,7359,1,
EleutherAI/pythia-160m,The quick brown fox,0,416, R,446,13291,14153,463,13632,3,
EleutherAI/pythia-160m,The quick brown fox,0,419, ha,6,3180,4954,6,1649,1,
EleutherAI/pythia-160m,The quick brown fox,0,451,ial,27,23820,34490,43,14660,1,
EleutherAI/pythia-160m,The quick brown fox,0,494,able,124,37709,40915,93,11943,1,
EleutherAI/pythia-160m,The quick brown fox,0,495, 3,212,7563,8468,180,6065,5,
EleutherAI/pythia-160m,The quick brown fox,0,528,ous,147,33114,40853,412,14959,1,
EleutherAI/pythia-160m,The quick brown fox,0,598, up,51,17514,22443,39,9473,1,
EleutherAI/pythia-160m,The quick brown fox,0,606,ang,13255,47435,49684,12880,43905,136,
EleutherAI/pythia-160m,The quick brown fox,0,609,are,6624,43256,48768,7296,39274,40,
EleutherAI/pythia-160m,The quick brown fox,0,684,ates,5143,45606,43731,3301,40619,13,
EleutherAI/pythia-160m,The quick brown fox,0,695,ric,13,12898,13964,10,8788,1,
EleutherAI/pythia-160m,The quick brown fox,0,720,ject,1,3268,1897,1,855,1,12.617169380187988
EleutherAI/pythia-160m,The quick brown fox,0,723,ings,1,18331,23980,1,851,1,15.850143432617188
EleutherAI/pythia-160m,The quick brown fox,0,778, may,5,1413,1580,8,1101,1,
EleutherAI/pythia-160m,The quick brown fox,0,807, year,1,2643,6429,1,656,1,16.55500602722168
EleutherAI/pythia-160m,The quick brown fox,0,864,hen,657,37381,42412,753,26666,1,
EleutherAI/pythia-160m,The quick brown fox,0,883,11,3548,22084,19063,4377,19096,271,
EleutherAI/pythia-160m,The quick brown fox,0,888,ident,9,4656,6255,14,5897,1,
EleutherAI/pythia-160m,The quick brown fox,0,896, back,9,7591,11263,16,4661,1,
EleutherAI/pythia-160m,The quick brown fox,0,927, includ,353,21643,23026,366,14273,1,
EleutherAI/pythia-160m,The quick brown fox,0,977,other,18142,47868,49859,14182,44823,407,
EleutherAI/pythia-160m,The quick brown fox,0,1002, produ,3282,26793,32037,3717,15593,352,
EleutherAI/pythia-160m,The quick brown fox,0,1052, 200,3414,22816,26686,3478,20328,166,
