model,theta_cell,theta_author,phi
Qwen2-0.5B-Instruct,7.325710773468018,8.82231629428452,52.67099380493164
Qwen2-0.5B-Instruct,6.173967361450195,7.262410370880328,51.936012268066406
Qwen2-0.5B-Instruct,7.812459468841553,8.876534335916082,52.136627197265625
Qwen2-0.5B-Instruct,10.203341484069824,11.422104858444813,52.262943267822266
Qwen2-0.5B-Instruct,8.394308090209961,10.312294740966122,50.75201416015625
Qwen2-0.5B-Instruct,6.112183094024658,7.002029899341101,51.88279724121094
Qwen2-0.5B-Instruct,6.715978145599365,15.819032306451351,48.37104034423828
Qwen2-0.5B-Instruct,6.398192882537842,7.829363883315576,50.91783142089844
Qwen2-0.5B-Instruct,9.626043319702148,11.796091866448862,50.96157455444336
Qwen2-0.5B-Instruct,8.927266120910645,,48.98061752319336
Qwen2-0.5B-Instruct,8.916343688964844,14.755592343247876,51.572269439697266
Qwen2-0.5B-Instruct,6.983424186706543,8.589236088857835,50.288055419921875
Qwen2-0.5B-Instruct,6.893924236297607,7.837471317860381,52.19356918334961
Qwen2-0.5B-Instruct,9.076752662658691,11.068075663195543,51.86912155151367
Qwen2-0.5B-Instruct,8.645859718322754,10.878551574106028,51.42669677734375
Qwen2-0.5B-Instruct,8.565018653869629,10.516524227338673,52.4268798828125
Qwen2-0.5B-Instruct,7.326568126678467,,38.461734771728516
Qwen2-0.5B-Instruct,5.782486915588379,6.57786832169414,52.503570556640625
Qwen2-0.5B-Instruct,8.479569435119629,9.902305805846936,52.74106979370117
Qwen2-0.5B-Instruct,9.695479393005371,12.862926433669832,52.00900650024414
Qwen2-0.5B-Instruct,8.957189559936523,10.11301031155266,52.53480529785156
Qwen2-0.5B-Instruct,8.22819709777832,9.671465902468015,51.41545486450195
Qwen2-0.5B-Instruct,8.609298706054688,14.61280040845959,51.045982360839844
Qwen2-0.5B-Instruct,4.16174840927124,4.899875257729597,51.48768615722656
Qwen2-0.5B-Instruct,8.163900375366211,9.841052669370262,51.93082809448242
Qwen2-0.5B-Instruct,4.760163307189941,5.613329497672449,51.37022399902344
Qwen2-0.5B-Instruct,7.297804355621338,8.587965673672212,53.391605377197266
Qwen2-0.5B-Instruct,4.419116973876953,5.349137780576356,50.76061248779297
Qwen2-0.5B-Instruct,6.504240989685059,7.257683879974679,53.134578704833984
Qwen2-0.5B-Instruct,5.435848236083984,6.045687302323427,53.520137786865234
Qwen2-0.5B-Instruct,8.635085105895996,13.03311425721904,52.178924560546875
Qwen2-0.5B-Instruct,8.387146949768066,14.257630571618927,49.97534942626953
Qwen2-0.5B-Instruct,7.093843460083008,8.123615262948896,53.5406494140625
Qwen2-0.5B-Instruct,8.796853065490723,10.610063668021997,51.938968658447266
Qwen2-0.5B-Instruct,7.493916988372803,9.168531753123297,50.82881164550781
Qwen2-0.5B-Instruct,5.388998031616211,6.0520940197648985,52.066104888916016
Qwen2-0.5B-Instruct,8.282544136047363,10.176647184049669,52.4255256652832
Qwen2-0.5B-Instruct,6.1849446296691895,7.19392406407261,53.212947845458984
Qwen2-0.5B-Instruct,6.05288028717041,6.854873473673177,52.13938522338867
Qwen2-0.5B-Instruct,9.296819686889648,,49.63545227050781
Qwen2-0.5B-Instruct,4.187082290649414,4.920604881860586,51.332733154296875
Qwen2-0.5B-Instruct,6.62326717376709,7.648391191066918,52.408729553222656
Qwen2-0.5B-Instruct,5.7644944190979,6.714547237175265,51.67950439453125
Qwen2-0.5B-Instruct,9.000123023986816,11.091373438454456,52.29668045043945
Qwen2-0.5B-Instruct,7.042415618896484,7.930921966084496,52.66459655761719
Qwen2-0.5B-Instruct,4.760862827301025,5.697538899949537,50.566505432128906
Qwen2-0.5B-Instruct,8.727106094360352,10.99779301663611,51.761627197265625
Qwen2-0.5B-Instruct,8.04325008392334,9.148731034719429,53.26851272583008
Qwen2-0.5B-Instruct,6.789401531219482,8.171023605977954,52.418861389160156
Qwen2-0.5B-Instruct,8.057711601257324,9.323064783094836,52.05855941772461
Qwen2-0.5B-Instruct,7.028501987457275,8.489146496760467,50.82878494262695
Qwen2-0.5B-Instruct,10.675640106201172,12.507292143965609,51.28550338745117
Qwen2-0.5B-Instruct,7.1524224281311035,8.437038983582442,51.021324157714844
Qwen2-0.5B-Instruct,7.9059672355651855,9.033171064151984,52.37905502319336
Qwen2-0.5B-Instruct,10.402591705322266,16.837946266455514,50.67412567138672
Qwen2-0.5B-Instruct,7.157439708709717,9.00478479796141,50.80367660522461
Qwen2-0.5B-Instruct,9.534875869750977,11.603992796042252,50.775726318359375
Qwen2-0.5B-Instruct,8.970296859741211,10.3604270840472,51.87930679321289
Qwen2-0.5B-Instruct,9.843866348266602,11.989905314337143,51.51481628417969
Qwen2-0.5B-Instruct,7.785404682159424,9.627759521969104,49.3229866027832
Qwen2-0.5B-Instruct,8.96019458770752,10.66536087954242,52.13895797729492
Qwen2-0.5B-Instruct,11.310869216918945,13.827676993555794,51.41581726074219
Qwen2-0.5B-Instruct,9.924283027648926,11.999897881092872,51.716915130615234
Qwen2-0.5B-Instruct,9.653923034667969,11.40905236694092,51.829345703125
Qwen2-0.5B-Instruct,9.404375076293945,,41.27939987182617
Qwen2-0.5B-Instruct,6.627233982086182,7.680458929220128,52.43706512451172
Qwen2-0.5B-Instruct,8.607268333435059,10.068648232893427,52.54790115356445
Qwen2-0.5B-Instruct,10.27519416809082,11.774330883753201,52.288021087646484
Qwen2-0.5B-Instruct,10.00716495513916,12.65258392799012,50.95750427246094
Qwen2-0.5B-Instruct,8.83055305480957,11.337000701386454,50.328826904296875
Qwen2-0.5B-Instruct,7.83298397064209,9.581245933721316,51.7370491027832
Qwen2-0.5B-Instruct,5.731554985046387,6.728528634406281,52.38526916503906
Qwen2-0.5B-Instruct,9.226627349853516,11.175343784110593,51.89480209350586
Qwen2-0.5B-Instruct,7.381955146789551,8.742648967805492,52.07585144042969
Qwen2-0.5B-Instruct,8.405600547790527,10.051948420372746,52.028934478759766
Qwen2-0.5B-Instruct,7.883664608001709,9.287069686168868,51.859657287597656
Qwen2-0.5B-Instruct,7.0246782302856445,8.220419534055486,52.2456169128418
Qwen2-0.5B-Instruct,6.52119255065918,7.6087351127458245,52.94919967651367
Qwen2-0.5B-Instruct,9.40412425994873,11.03449162304659,51.44149398803711
Qwen2-0.5B-Instruct,10.49467658996582,13.039964936956563,51.0143928527832
Qwen2-0.5B-Instruct,5.643961429595947,6.694726028203888,52.69468688964844
Qwen2-0.5B-Instruct,10.828692436218262,13.522183122548634,51.17156219482422
Qwen2-0.5B-Instruct,9.789403915405273,12.273569900756943,50.3387565612793
Qwen2-0.5B-Instruct,5.885064601898193,6.90462457158755,52.65046310424805
Qwen2-0.5B-Instruct,9.121410369873047,11.005531620965735,51.75229263305664
Qwen2-0.5B-Instruct,7.586514949798584,8.987477098604598,52.41189956665039
